Rank,Name,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
54,SUPER MARIO 3D LAND,1/1/2011,Platform,4.89,2.99,2.13,0.78,10.79
55,GRAN TURISMO 5,1/1/2010,Racing,2.96,4.88,0.81,2.12,10.77
58,SUPER MARIO ALL-STARS,1/1/1993,Platform,5.99,2.15,2.12,0.29,10.55
59,POKEMON FIRERED/POKEMON LEAFGREEN,1/1/2004,Role-Playing,4.34,2.65,3.15,0.35,10.49
63,HALO: REACH,1/1/2010,Shooter,7.03,1.98,0.08,0.78,9.88
64,MARIO KART 64,1/1/1996,Racing,5.55,1.94,2.23,0.15,9.87
65,NEW SUPER MARIO BROS. 2,1/1/2012,Platform,3.66,3.07,2.47,0.63,9.82
66,HALO 4,1/1/2012,Shooter,6.63,2.36,0.04,0.73,9.76
67,FINAL FANTASY VII,1/1/1997,Role-Playing,3.01,2.47,3.28,0.96,9.72
69,JUST DANCE 2,1/1/2010,Misc,5.84,2.89,0.01,0.78,9.52
70,GRAN TURISMO 2,1/1/1999,Racing,3.88,3.42,1.69,0.5,9.49
74,ANIMAL CROSSING: NEW LEAF,1/1/2012,Simulation,2.01,2.32,4.36,0.41,9.09
75,MARIO PARTY DS,1/1/2007,Misc,4.46,1.88,1.98,0.7,9.02
77,SUPER MARIO KART,1/1/1992,Racing,3.54,1.24,3.81,0.18,8.76
79,WII PARTY,1/1/2010,Misc,1.79,3.53,2.49,0.68,8.49
81,MARIO PARTY 8,1/1/2007,Misc,3.81,2.3,1.58,0.73,8.42
82,POKEMON BLACK 2/POKEMON WHITE 2,1/1/2012,Role-Playing,2.91,1.86,3.14,0.43,8.33
85,GOLDENEYE 007,1/1/1997,Shooter,5.8,2.01,0.13,0.15,8.09
87,FINAL FANTASY X,1/1/2001,Role-Playing,2.91,2.07,2.73,0.33,8.05
88,FINAL FANTASY VIII,1/1/1999,Role-Playing,2.28,1.72,3.63,0.23,7.86
89,POKÉMON PLATINUM VERSION,1/1/2008,Role-Playing,2.82,1.78,2.69,0.55,7.84
92,SUPER MARIO GALAXY 2,1/1/2010,Platform,3.66,2.42,0.98,0.64,7.69
96,CRASH BANDICOOT 2: CORTEX STRIKES BACK,1/1/1997,Platform,3.78,2.17,1.31,0.31,7.58
97,SUPER MARIO BROS. 2,1/1/1988,Platform,5.39,1.18,0.7,0.19,7.46
103,JUST DANCE,1/1/2009,Misc,3.51,3.03,0,0.73,7.27
106,TEKKEN 3,1/1/1998,Fighting,3.27,2.22,1.4,0.29,7.16
108,SUPER SMASH BROS. MELEE,1/1/2001,Fighting,4.41,1.04,1.39,0.22,7.07
109,MARIO KART 8,1/1/2014,Racing,3.13,2.07,1.27,0.49,6.96
111,MARIO KART: DOUBLE DASH!!,1/1/2003,Racing,4.12,1.77,0.87,0.19,6.95
116,UNCHARTED 3: DRAKE'S DECEPTION,1/1/2011,Action,2.77,2.8,0.19,1.06,6.83
117,CRASH BANDICOOT,1/1/1996,Platform,3.23,2.35,0.94,0.3,6.82
119,GEARS OF WAR 2,1/1/2008,Shooter,4.15,1.92,0.06,0.64,6.76
120,UNCHARTED 2: AMONG THIEVES,1/1/2009,Action,3.27,2.25,0.21,1,6.73
123,BIG BRAIN ACADEMY,1/1/2005,Misc,1.67,2.78,1.6,0.62,6.67
128,THE LEGEND OF ZELDA,1/1/1986,Action,3.74,0.93,1.69,0.14,6.51
131,POKÉMON EMERALD VERSION,1/1/2004,Role-Playing,2.57,1.58,2.06,0.21,6.41
133,POKÉMON CRYSTAL VERSION,1/1/2000,Role-Playing,2.55,1.56,1.29,0.99,6.39
134,HALO 3: ODST,1/1/2009,Shooter,4.34,1.35,0.06,0.61,6.36
136,SUPER MARIO SUNSHINE,1/1/2002,Platform,4.01,1.26,0.87,0.17,6.31
137,STREET FIGHTER II: THE WORLD WARRIOR,1/1/1992,Fighting,2.47,0.83,2.87,0.12,6.3
138,WORLD OF WARCRAFT,1/1/2004,Role-Playing,0.07,6.21,0,0,6.28
139,DRIVER,1/1/1999,Action,3.11,2.8,0.02,0.33,6.27
140,KINECT SPORTS,1/1/2010,Sports,3.92,1.78,0.03,0.51,6.24
141,GEARS OF WAR 3,1/1/2011,Shooter,4.05,1.62,0.07,0.49,6.24
143,METAL GEAR SOLID 2: SONS OF LIBERTY,1/1/2001,Action,2.45,2.01,0.87,0.72,6.05
144,SONIC THE HEDGEHOG 2,1/1/1992,Platform,4.47,1.2,0.16,0.19,6.03
145,METAL GEAR SOLID 4: GUNS OF THE PATRIOTS,1/1/2008,Action,2.63,1.74,0.83,0.83,6.03
148,FINAL FANTASY XII,1/1/2006,Role-Playing,1.88,0,2.33,1.74,5.95
150,DRAGON QUEST IX: SENTINELS OF THE STARRY SKIES,1/1/2009,Role-Playing,0.66,0.69,4.35,0.15,5.84
153,TEKKEN 2,1/1/1996,Fighting,2.26,1.89,1.36,0.23,5.74
154,COOKING MAMA,1/1/2006,Simulation,3.13,1.94,0.07,0.58,5.72
158,SUPER SMASH BROS.,1/1/1999,Fighting,2.95,0.6,1.97,0.04,5.55
161,FORZA MOTORSPORT 3,1/1/2009,Racing,2.99,1.92,0.1,0.51,5.51
163,SUPER MARIO ADVANCE,1/1/2001,Platform,3.14,1.24,0.91,0.2,5.49
164,MARIO KART: SUPER CIRCUIT,1/1/2001,Racing,2.62,1.64,0.99,0.23,5.47
166,POKEMON STADIUM,1/1/1999,Strategy,3.18,1.24,0.94,0.09,5.45
172,POKEMON PINBALL,1/1/1999,Misc,3.02,1.12,1.01,0.16,5.31
174,FINAL FANTASY IX,1/1/2000,Role-Playing,1.62,0.77,2.78,0.14,5.3
175,FINAL FANTASY X-2,1/1/2003,Role-Playing,1.92,1.08,2.11,0.17,5.29
176,DONKEY KONG 64,1/1/1999,Platform,3.33,0.79,1.09,0.06,5.27
178,PROFESSOR LAYTON AND THE CURIOUS VILLAGE,1/1/2007,Puzzle,1.22,2.48,1.03,0.52,5.26
185,SUPER MARIO LAND 3: WARIO LAND,1/1/1994,Platform,2.49,0.98,1.57,0.15,5.19
187,THE LEGEND OF ZELDA: PHANTOM HOURGLASS,1/1/2007,Action,1.9,1.83,0.95,0.49,5.17
188,DONKEY KONG COUNTRY 2: DIDDY'S KONG QUEST,1/1/1995,Platform,2.1,0.74,2.2,0.11,5.15
189,TOMODACHI LIFE,1/1/2013,Simulation,0.96,2.02,1.89,0.28,5.15
192,KIRBY'S DREAM LAND,1/1/1992,Platform,2.71,0.61,1.7,0.11,5.13
195,MICROSOFT FLIGHT SIMULATOR,1/1/1996,Simulation,3.22,1.69,0,0.2,5.12
203,SUPER MARIO BROS.,1/1/1999,Sports,32.48,4.88,6.96,0.99,45.31
205,WARZONE 2100,1/1/1999,Strategy,2.79,1.89,0,0.33,5.01
207,LINK'S CROSSBOW TRAINING,1/1/2007,Shooter,3.06,1.18,0.29,0.46,5
210,POKEMON MYSTERY DUNGEON: EXPLORERS OF TIME/EXPLORERS OF DARKNESS,1/1/2007,Role-Playing,1.85,1.2,1.54,0.37,4.96
211,UNCHARTED: DRAKE'S FORTUNE,1/1/2007,Action,2.31,1.73,0.12,0.78,4.94
215,MONSTER HUNTER FREEDOM 3,1/1/2010,Role-Playing,0,0,4.87,0,4.87
218,STARCRAFT II: WINGS OF LIBERTY,1/1/2010,Strategy,2.56,1.68,0,0.59,4.83
221,CRASH TEAM RACING,1/1/1999,Racing,2.57,1.57,0.44,0.21,4.79
224,DRIVER 2,1/1/2000,Action,2.36,2.1,0.02,0.25,4.73
227,ANIMAL CROSSING: CITY FOLK,1/1/2008,Simulation,1.87,1.12,1.32,0.37,4.68
229,FORZA MOTORSPORT 4,1/1/2011,Racing,2.08,2.04,0.06,0.47,4.64
235,LUIGI'S MANSION: DARK MOON,1/1/2013,Action,1.78,1.39,1.1,0.3,4.58
236,SPLATOON,1/1/2015,Shooter,1.55,1.15,1.44,0.43,4.57
240,PITFALL!,1/1/1981,Platform,4.21,0.24,0,0.05,4.5
244,UNCHARTED: THE NATHAN DRAKE COLLECTION,1/1/2015,Action,1.96,1.69,0.08,0.74,4.47
246,GOD OF WAR,1/1/2005,Action,2.71,1.29,0.02,0.43,4.45
247,NINTENDO LAND,1/1/2012,Misc,2.55,1.11,0.46,0.33,4.44
252,ZELDA II: THE ADVENTURE OF LINK,1/1/1987,Adventure,2.19,0.5,1.61,0.08,4.38
254,RESISTANCE: FALL OF MAN,1/1/2006,Shooter,1.73,1.73,0.14,0.75,4.35
259,RED DEAD REDEMPTION,1/1/1980,Shooter,6.49,4.58,0.26,1.6,12.94
260,FABLE II,1/1/2008,Role-Playing,2.51,1.27,0.11,0.41,4.31
261,HALO 5: GUARDIANS,1/1/2015,Shooter,2.64,1.2,0.03,0.39,4.26
262,SUPER MARIO 3D WORLD,1/1/2013,Platform,2.11,1.11,0.72,0.3,4.25
266,METAL GEAR SOLID 3: SNAKE EATER,1/1/2004,Action,1.46,0,0.83,1.93,4.23
267,DAXTER,1/1/2006,Platform,2.45,1.02,0,0.75,4.22
268,WARCRAFT II: TIDES OF DARKNESS,1/1/1995,Strategy,1.7,2.27,0,0.23,4.21
271,EYETOY PLAY,1/1/2003,Misc,0.88,2.3,0.2,0.83,4.2
272,UNCHARTED 4: A THIEF'S END,1/1/2016,Shooter,1.3,2.07,0.18,0.65,4.2
273,GRAN TURISMO 5 PROLOGUE,1/1/2007,Racing,1.28,1.83,0.57,0.53,4.2
276,MARIO & SONIC AT THE OLYMPIC GAMES,1/1/2011,Sports,4.22,6.38,1.1,1.49,13.2
278,EXCITEBIKE,1/1/1984,Racing,2.04,0.48,1.57,0.07,4.16
285,THE LEGEND OF ZELDA: SKYWARD SWORD,1/1/2011,Action,2.14,1.2,0.37,0.4,4.1
286,STREET FIGHTER II TURBO,1/1/1992,Fighting,1.42,0.51,2.1,0.07,4.1
289,WORLD OF WARCRAFT: THE BURNING CRUSADE,1/1/2007,Role-Playing,2.57,1.52,0,0,4.09
291,GOD OF WAR II,1/1/2007,Action,2.32,0.04,0.04,1.67,4.07
292,FORZA MOTORSPORT 2,1/1/2007,Racing,2.35,1.28,0.03,0.41,4.06
294,NAMCO MUSEUM VOL.3,1/1/1996,Misc,2.28,1.55,0.16,0.06,4.05
295,TEKKEN TAG TOURNAMENT,1/1/2000,Fighting,1.68,1.51,0.51,0.35,4.05
297,STAR FOX 64,1/1/1997,Shooter,2.78,0.58,0.64,0.04,4.03
301,PROFESSOR LAYTON AND THE DIABOLICAL BOX,1/1/2007,Puzzle,0.92,1.78,0.92,0.37,4
302,SUPER SMASH BROS. FOR WII U AND 3DS,1/1/2009,Shooter,5.83,2.41,3.22,1,12.47
304,EA SPORTS ACTIVE,1/1/2009,Sports,2.1,1.36,0.06,0.4,3.92
306,DONKEY KONG LAND,1/1/1994,Platform,1.97,0.76,1.07,0.11,3.91
309,MONSTER HUNTER 4 ULTIMATE,1/1/2014,Role-Playing,0.67,0.49,2.62,0.11,3.89
310,MOTORSTORM,1/1/2006,Racing,1.53,1.61,0.06,0.67,3.88
312,TEKKEN 5,1/1/2005,Fighting,0.93,1.94,0.31,0.7,3.87
314,SPORTS CHAMPIONS,1/1/2010,Sports,2.12,1.14,0.1,0.51,3.87
317,FLASH FOCUS: VISION TRAINING IN MINUTES A DAY,1/1/2007,Misc,0.87,1.57,1.05,0.35,3.84
318,NAMCO MUSEUM VOL.1,1/1/1995,Misc,2.12,1.44,0.22,0.06,3.84
319,THE LEGEND OF ZELDA: LINK'S AWAKENING,1/1/1992,Action,2.21,0.96,0.54,0.13,3.83
320,MARIO & LUIGI: BOWSER'S INSIDE STORY,1/1/2009,Role-Playing,2.26,0.48,0.81,0.27,3.83
321,BIG BRAIN ACADEMY: WII DEGREE,1/1/2007,Misc,1.06,1.93,0.41,0.43,3.82
322,NINTENDOGS + CATS,1/1/2011,Simulation,1.44,1.37,0.73,0.27,3.81
329,THE SIMS: UNLEASHED,1/1/2002,Simulation,2.03,1.56,0,0.17,3.76
330,SUPER PAPER MARIO,1/1/2007,Platform,1.98,0.88,0.59,0.32,3.76
334,SPYRO: YEAR OF THE DRAGON,1/1/2000,Platform,1.93,1.58,0,0.19,3.71
336,POKÉMON TRADING CARD GAME,1/1/1998,Strategy,1.49,0.73,1.38,0.1,3.7
339,FRIEND COLLECTION,1/1/2009,Misc,0,0,3.67,0,3.67
343,SOCOM: U.S. NAVY SEALS,1/1/2002,Shooter,2.53,0.81,0.06,0.24,3.65
345,GRAN TURISMO 6,1/1/2013,Racing,0.71,1.8,0.4,0.74,3.64
346,JAK AND DAXTER: THE PRECURSOR LEGACY,1/1/2001,Platform,2.08,1.09,0.15,0.33,3.64
347,POKEMON SNAP,1/1/1999,Simulation,2.23,0.68,0.66,0.06,3.63
356,COOKING MAMA 2: DINNER WITH FRIENDS,1/1/2007,Simulation,1.61,1.5,0.1,0.39,3.61
357,LUIGI'S MANSION,1/1/2001,Action,2.38,0.67,0.46,0.1,3.6
359,WWF SMACKDOWN!,1/1/2000,Fighting,2.01,1.35,0.06,0.16,3.58
360,CROC: LEGEND OF THE GOBBOS,1/1/1997,Platform,1.57,1.79,0,0.2,3.56
362,THE GETAWAY,1/1/2002,Action,1.23,1.77,0.05,0.49,3.54
364,THE LEGEND OF ZELDA: OCARINA OF TIME,1/1/2001,Shooter,6.13,3.16,2.07,0.46,11.81
369,SPYRO 2: RIPTO'S RAGE!,1/1/1999,Platform,2.14,1.21,0.01,0.17,3.52
373,DONKEY KONG COUNTRY 3: DIXIE KONG'S DOUBLE TROUBLE!,1/1/1996,Platform,1.17,0.5,1.75,0.08,3.51
375,KUNG FU,1/1/1985,Action,1.64,0.38,1.42,0.06,3.5
377,CLUBHOUSE GAMES,1/1/2006,Misc,0.59,1.83,0.73,0.35,3.5
381,GUITAR HERO: ON TOUR,1/1/2008,Misc,2.11,1.01,0.01,0.35,3.48
386,TEKKEN 4,1/1/2002,Fighting,1.55,1.27,0.33,0.29,3.44
387,DR. MARIO,1/1/2013,Shooter,4.8,1.56,3.52,0.3,10.19
388,LITTLEBIGPLANET 2,1/1/2011,Platform,1.82,1.07,0.06,0.47,3.42
389,GRAND THEFT AUTO 2,1/1/1998,Action,1.13,2.07,0,0.22,3.42
392,F-1 RACE,1/1/1990,Racing,1.73,0.69,0.59,0.4,3.41
394,CRASH BASH,1/1/2000,Misc,1.56,1.47,0.19,0.17,3.39
397,THE LEGEND OF ZELDA: SPIRIT TRACKS,1/1/2009,Action,1.43,0.94,0.74,0.27,3.38
399,THE LEGEND OF ZELDA: MAJORA'S MASK,1/1/2000,Action,1.9,0.67,0.73,0.06,3.36
400,PROFESSOR LAYTON AND THE UNWOUND FUTURE,1/1/2008,Puzzle,0.65,1.61,0.82,0.28,3.36
401,RUGRATS: SEARCH FOR REPTAR,1/1/1998,Adventure,1.63,1.53,0,0.18,3.34
403,ENGLISH TRAINING: HAVE FUN IMPROVING YOUR SKILLS!,1/1/2006,Misc,0,0.99,2.32,0.02,3.33
405,RATCHET & CLANK,1/1/2002,Platform,1.44,1.01,0.57,0.3,3.33
406,MARIO PARTY 9,1/1/2012,Misc,1.15,1.17,0.76,0.24,3.32
413,WII MUSIC,1/1/2008,Misc,1.36,1.13,0.46,0.32,3.27
414,GRAN TURISMO (PSP),1/1/2009,Racing,0.5,1.59,0.31,0.87,3.27
415,MONSTER HUNTER X,1/1/2015,Action,0.25,0.19,2.78,0.04,3.26
416,TEKKEN,1/1/1995,Fighting,0.95,1.3,0.77,0.22,3.24
420,YOKAI WATCH 2 GANSO/HONKE,1/1/2014,Role-Playing,0.03,0,3.18,0,3.22
421,007: TOMORROW NEVER DIES,1/1/1999,Shooter,1.72,1.33,0,0.16,3.21
423,KILLER INSTINCT,1/1/1995,Fighting,2.26,0.72,0.12,0.1,3.2
424,WWF SMACKDOWN! 2: KNOW YOUR ROLE,1/1/2000,Fighting,1.76,1.21,0.07,0.16,3.2
425,CRISIS CORE: FINAL FANTASY VII,1/1/2007,Role-Playing,1.35,0.6,0.8,0.44,3.19
426,GOD OF WAR: CHAINS OF OLYMPUS,1/1/2008,Action,1.48,1.01,0.04,0.66,3.19
427,DRAGON QUEST VI: MABOROSHI NO DAICHI,1/1/1995,Role-Playing,0,0,3.19,0,3.19
428,DANCE CENTRAL,1/1/2010,Misc,2.15,0.77,0.01,0.26,3.19
430,SUPER MARIO MAKER,1/1/2015,Platform,1.18,0.87,0.93,0.2,3.18
433,RHYTHM HEAVEN,1/1/2008,Misc,0.58,0.51,1.93,0.14,3.17
434,ACE COMBAT 04: SHATTERED SKIES,1/1/2001,Simulation,2.06,0.56,0.38,0.17,3.17
435,CLUB PENGUIN: ELITE PENGUIN FORCE,1/1/2008,Adventure,1.88,0.98,0,0.3,3.16
436,ANIMAL CROSSING,1/1/2001,Simulation,1.92,0.16,0.99,0.09,3.15
438,SONIC RUSH,1/1/2005,Platform,1.22,1.57,0.06,0.29,3.15
440,HALO: THE MASTER CHIEF COLLECTION,1/1/2014,Shooter,1.89,0.99,0.03,0.24,3.15
443,NEED FOR SPEED III: HOT PURSUIT,1/1/1998,Racing,2.14,0.86,0,0.13,3.12
444,STAR WARS EPISODE I RACER,1/1/1999,Racing,2.31,0.62,0.14,0.04,3.12
445,PERSONAL TRAINER: COOKING,1/1/2006,Misc,0.91,1,1.03,0.17,3.12
447,DRAGON WARRIOR IV,1/1/1990,Role-Playing,0.08,0,3.03,0.01,3.12
448,HEAVY RAIN,1/1/2010,Adventure,1.29,1.27,0.06,0.5,3.12
452,GRAND THEFT AUTO: LIBERTY CITY STORIES,1/1/2001,Sports,4.46,4.23,0.31,2.25,11.26
453,WORLD CLASS TRACK MEET,1/1/1986,Sports,1.92,0.45,0.64,0.07,3.08
455,THE LEGEND OF ZELDA: A LINK BETWEEN WORLDS,1/1/2013,Action,1.4,0.99,0.46,0.22,3.07
457,THE SIMS: VACATION,1/1/2002,Simulation,1.72,1.21,0,0.14,3.07
461,EPIC MICKEY,1/1/2010,Platform,2.06,0.64,0.12,0.22,3.04
463,RAYMAN,1/1/1995,Platform,1.54,1.33,0,0.16,3.03
464,KILLZONE 2,1/1/2009,Shooter,1.4,1.07,0.08,0.47,3.02
466,MIKE TYSON'S PUNCH-OUT!!,1/1/1987,Fighting,2.03,0.47,0.45,0.07,3.02
467,WWE SMACKDOWN! SHUT YOUR MOUTH,1/1/2002,Sports,1.45,1.13,0.07,0.38,3.02
468,GEARS OF WAR: ULTIMATE EDITION,1/1/2015,Shooter,2.38,0.32,0,0.31,3
473,STAR FOX,1/1/1993,Shooter,1.61,0.51,0.8,0.07,2.99
474,THE SIMS: LIVIN LARGE,1/1/2000,Misc,1.67,1.18,0,0.13,2.99
475,WORLD SOCCER WINNING ELEVEN 6 INTERNATIONAL,1/1/2002,Sports,0.12,1.26,1.16,0.45,2.99
476,DEVIL MAY CRY,1/1/2001,Action,1.36,0.86,0.64,0.13,2.99
477,ANIMAL CROSSING: HAPPY HOME DESIGNER,1/1/2015,Simulation,0.47,1,1.39,0.12,2.98
479,THE SIMS 4,1/1/2014,Simulation,0.96,1.72,0,0.29,2.97
480,STAR WARS: THE OLD REPUBLIC,1/1/2011,Role-Playing,1.58,1.01,0,0.38,2.97
482,KIRBY SUPER STAR ULTRA,1/1/2008,Platform,1.57,0.04,1.19,0.15,2.96
485,WAVE RACE 64,1/1/1996,Racing,1.98,0.58,0.34,0.04,2.94
486,SOCOM II: U.S. NAVY SEALS,1/1/2003,Shooter,2.22,0.51,0.06,0.15,2.94
488,INFAMOUS,1/1/2009,Action,1.76,0.69,0.12,0.37,2.94
489,PAC-MAN COLLECTION,1/1/2001,Puzzle,2.07,0.77,0.05,0.05,2.94
491,WARIOWARE: SMOOTH MOVES,1/1/2006,Puzzle,0.87,1.06,0.73,0.26,2.92
492,COOKING MAMA: COOK OFF,1/1/2007,Simulation,1.43,1.13,0.05,0.3,2.91
498,WORLD SOCCER WINNING ELEVEN 7 INTERNATIONAL,1/1/2003,Sports,0.08,1.24,1.13,0.45,2.9
500,HOT SHOTS GOLF 3,1/1/2001,Sports,0.99,0.32,1.38,0.2,2.89
502,ZUMBA FITNESS 2,1/1/2011,Sports,1.54,1.07,0,0.28,2.88
503,SYPHON FILTER,1/1/1999,Shooter,2.03,0.72,0.02,0.11,2.88
504,IMAGINE: BABYZ,1/1/2007,Simulation,1.3,1.27,0,0.31,2.88
505,COLIN MCRAE RALLY,1/1/1998,Racing,0.09,2.43,0.12,0.22,2.87
508,THE ELDER SCROLLS III: MORROWIND,1/1/2002,Role-Playing,2.09,0.63,0.03,0.11,2.86
510,F-ZERO,1/1/1990,Racing,1.37,0.51,0.89,0.07,2.85
511,YOSHI'S STORY,1/1/1997,Platform,1.29,0.53,0.98,0.05,2.85
514,THE ELDER SCROLLS V: SKYRIM,1/1/2015,Sports,8.73,7.66,0.35,2.54,19.28
519,WWE SMACKDOWN! VS. RAW,1/1/2002,Fighting,1.32,1.08,0.04,0.39,2.83
520,METROID PRIME,1/1/2002,Shooter,1.96,0.67,0.1,0.09,2.82
525,WWE SMACKDOWN! HERE COMES THE PAIN,1/1/2003,Fighting,1.32,1.06,0.04,0.38,2.8
527,YOSHI'S ISLAND DS,1/1/2006,Platform,1.47,0.07,1.1,0.15,2.8
528,HOT SHOTS GOLF,1/1/1997,Sports,0.29,0.2,2.13,0.18,2.79
529,KILLZONE 3,1/1/2011,Shooter,1.45,0.88,0.09,0.38,2.79
531,WWF SMACKDOWN! JUST BRING IT,1/1/2001,Fighting,1.19,1.15,0.04,0.41,2.79
536,PROFESSOR LAYTON AND THE LAST SPECTER,1/1/2009,Puzzle,0.3,1.47,0.68,0.34,2.79
538,JAK II,1/1/2003,Platform,1.68,0.74,0,0.36,2.78
539,INFAMOUS: SECOND SON,1/1/2014,Action,1.27,0.97,0.07,0.47,2.78
540,RATCHET & CLANK: GOING COMMANDO,1/1/2003,Platform,1.44,0.83,0.26,0.25,2.78
543,SONIC AND THE SECRET RINGS,1/1/2007,Platform,1.24,1.2,0.04,0.3,2.77
546,MARIO PAINT,1/1/1992,Misc,1.43,0.54,0.71,0.07,2.75
548,POKÉMON STADIUM 2,1/1/2000,Strategy,1.02,0.36,1.13,0.23,2.73
549,METROID,1/1/1986,Action,1.33,0.31,1.04,0.05,2.73
553,ONIMUSHA: WARLORDS,1/1/2001,Action,0.99,0.48,1.09,0.14,2.7
555,MARIO PARTY,1/1/1998,Misc,1.25,0.53,0.87,0.05,2.7
559,MARIO VS. DONKEY KONG: MINI-LAND MAYHEM!,1/1/2010,Puzzle,1.63,0.52,0.35,0.18,2.69
562,YOKAI WATCH 2 SHINUCHI,1/1/2014,Role-Playing,0,0,2.68,0,2.68
570,HANNAH MONTANA,1/1/2006,Action,1.59,0.8,0,0.26,2.65
573,MEDAL OF HONOR HEROES,1/1/2006,Shooter,0.86,1.11,0.01,0.66,2.65
574,SUPER MARIO BROS.: THE LOST LEVELS,1/1/1986,Platform,0,0,2.65,0,2.65
575,STAR WARS: SHADOWS OF THE EMPIRE,1/1/1996,Action,2,0.5,0.12,0.03,2.65
578,PAC-MAN: ADVENTURES IN TIME,1/1/2006,Fighting,0.76,1.1,0.12,0.65,2.63
579,HALO WARS,1/1/2009,Strategy,1.53,0.82,0.04,0.24,2.63
582,MARIO STRIKERS CHARGED,1/1/2007,Sports,1.07,1.06,0.24,0.25,2.62
586,STYLE SAVVY,1/1/2008,Simulation,0.63,0.84,0.96,0.19,2.61
588,SUPER MARIO ALL-STARS: LIMITED EDITION,1/1/2010,Platform,1.02,0.52,0.92,0.14,2.6
589,STREETS OF RAGE,1/1/1990,Action,1.86,0.55,0.11,0.08,2.6
591,RATCHET & CLANK FUTURE: TOOLS OF DESTRUCTION,1/1/2007,Platform,0.93,1.12,0.08,0.45,2.59
594,KILLZONE: SHADOW FALL,1/1/2013,Shooter,0.89,1.33,0.07,0.28,2.58
598,RATCHET & CLANK: UP YOUR ARSENAL,1/1/2004,Platform,1.31,0.74,0.31,0.22,2.57
599,ART ACADEMY,1/1/2010,Misc,0.28,1.68,0.33,0.28,2.57
602,SONIC ADVENTURE 2 BATTLE,1/1/2001,Platform,1.7,0.59,0.21,0.07,2.56
603,DRAGON WARRIOR II,1/1/1987,Role-Playing,0.15,0,2.41,0,2.56
606,DECA SPORTS,1/1/2008,Sports,1.13,0.87,0.29,0.25,2.54
