Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
27,POKEMON BLACK/POKEMON WHITE,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,BRAIN AGE 2: MORE TRAINING IN MINUTES A DAY,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,GRAN TURISMO 3: A-SPEC,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,CALL OF DUTY: MODERN WARFARE 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,POKÉMON YELLOW: SPECIAL PIKACHU EDITION,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32,CALL OF DUTY: BLACK OPS,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,POKEMON X/POKEMON Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34,CALL OF DUTY: BLACK OPS 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,CALL OF DUTY: BLACK OPS II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36,CALL OF DUTY: BLACK OPS II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37,CALL OF DUTY: MODERN WARFARE 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38,CALL OF DUTY: MODERN WARFARE 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39,GRAND THEFT AUTO III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,SUPER SMASH BROS. BRAWL,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41,CALL OF DUTY: BLACK OPS,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
42,ANIMAL CROSSING: WILD WORLD,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43,MARIO KART 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,HALO 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,GRAND THEFT AUTO V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,POKEMON HEARTGOLD/POKEMON SOULSILVER,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47,SUPER MARIO 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,GRAN TURISMO 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,SUPER MARIO GALAXY,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,POKEMON OMEGA RUBY/POKEMON ALPHA SAPPHIRE,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,SUPER MARIO LAND 2: 6 GOLDEN COINS,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,GRAND THEFT AUTO IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,GRAN TURISMO,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,SUPER MARIO 3D LAND,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,GRAN TURISMO 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,CALL OF DUTY: MODERN WARFARE 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,GRAND THEFT AUTO IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,SUPER MARIO ALL-STARS,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,POKEMON FIRERED/POKEMON LEAFGREEN,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
60,SUPER MARIO 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
61,JUST DANCE 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
62,CALL OF DUTY: GHOSTS,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,HALO: REACH,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,MARIO KART 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
65,NEW SUPER MARIO BROS. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
66,HALO 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,FINAL FANTASY VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
68,CALL OF DUTY: GHOSTS,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
69,JUST DANCE 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,GRAN TURISMO 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,CALL OF DUTY 4: MODERN WARFARE,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
72,DONKEY KONG COUNTRY,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
73,MINECRAFT,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,ANIMAL CROSSING: NEW LEAF,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
75,MARIO PARTY DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
76,THE ELDER SCROLLS V: SKYRIM,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,SUPER MARIO KART,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,WII PARTY,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,HALO 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,MARIO PARTY 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,POKEMON BLACK 2/POKEMON WHITE 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA SOCCER 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,THE SIMS 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11
85,GOLDENEYE 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,MARIO & SONIC AT THE OLYMPIC GAMES,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,FINAL FANTASY X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
88,FINAL FANTASY VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,POKÉMON PLATINUM VERSION,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
90,PAC-MAN,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
91,GRAND THEFT AUTO: LIBERTY CITY STORIES,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
92,SUPER MARIO GALAXY 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,STAR WARS BATTLEFRONT (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,CALL OF DUTY: ADVANCED WARFARE,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
95,THE LEGEND OF ZELDA: OCARINA OF TIME,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
96,CRASH BANDICOOT 2: CORTEX STRIKES BACK,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
97,SUPER MARIO BROS. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
98,SUPER SMASH BROS. FOR WII U AND 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
99,CALL OF DUTY: WORLD AT WAR,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
100,BATTLEFIELD 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,THE LEGEND OF ZELDA: TWILIGHT PRINCESS,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
102,CALL OF DUTY: BLACK OPS 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
103,JUST DANCE,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
104,BATTLEFIELD 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
105,NEED FOR SPEED UNDERGROUND,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
106,TEKKEN 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,CRASH BANDICOOT 3: WARPED,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
108,SUPER SMASH BROS. MELEE,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
109,MARIO KART 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,FALLOUT 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,MARIO KART: DOUBLE DASH!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
112,JUST DANCE 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
114,NEED FOR SPEED UNDERGROUND 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,MEDAL OF HONOR: FRONTLINE,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
116,UNCHARTED 3: DRAKE'S DECEPTION,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
117,CRASH BANDICOOT,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
118,ZUMBA FITNESS,Wii,2010.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81
119,GEARS OF WAR 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,UNCHARTED 2: AMONG THIEVES,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73
121,CALL OF DUTY 4: MODERN WARFARE,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
123,BIG BRAIN ACADEMY,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
124,RED DEAD REDEMPTION,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,DONKEY KONG COUNTRY RETURNS,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
127,THE ELDER SCROLLS V: SKYRIM,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,THE LEGEND OF ZELDA,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
129,ASSASSIN'S CREED III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,HALO: COMBAT EVOLVED,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
131,POKÉMON EMERALD VERSION,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
132,KINGDOM HEARTS,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,POKÉMON CRYSTAL VERSION,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,HALO 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,RED DEAD REDEMPTION,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
136,SUPER MARIO SUNSHINE,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
137,STREET FIGHTER II: THE WORLD WARRIOR,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
138,WORLD OF WARCRAFT,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
139,DRIVER,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,KINECT SPORTS,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,GEARS OF WAR 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,GEARS OF WAR,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
143,METAL GEAR SOLID 2: SONS OF LIBERTY,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
144,SONIC THE HEDGEHOG 2,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03
145,METAL GEAR SOLID 4: GUNS OF THE PATRIOTS,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
146,METAL GEAR SOLID,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,THE LAST OF US,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,FINAL FANTASY XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
149,LITTLEBIGPLANET,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
150,DRAGON QUEST IX: SENTINELS OF THE STARRY SKIES,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
151,LEGO STAR WARS: THE COMPLETE SAGA,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83
152,RESIDENT EVIL 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,TEKKEN 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
154,COOKING MAMA,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
155,DESTINY,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
156,TETRIS,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
157,ASSASSIN'S CREED II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,SUPER SMASH BROS.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
159,ASSASSIN'S CREED,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,BATMAN: ARKHAM CITY,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,FORZA MOTORSPORT 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,MONSTER HUNTER FREEDOM UNITE,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
163,SUPER MARIO ADVANCE,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,MARIO KART: SUPER CIRCUIT,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,SUPER MARIO WORLD,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
166,POKEMON STADIUM,N64,1999.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
167,CALL OF DUTY: WORLD AT WAR,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
168,CRASH BANDICOOT: THE WRATH OF CORTEX,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,MINECRAFT,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
170,FINAL FANTASY XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
171,DR. MARIO,GB,1989.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
172,POKEMON PINBALL,GB,1999.0,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
173,ASSASSIN'S CREED III,X360,2012.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
174,FINAL FANTASY IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,FINAL FANTASY X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
176,DONKEY KONG 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
177,ASSASSIN'S CREED II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
178,PROFESSOR LAYTON AND THE CURIOUS VILLAGE,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
179,TOMB RAIDER II,PS,1997.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,MADDEN NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,DRAGON QUEST VIII: JOURNEY OF THE CURSED KING,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
182,DIABLO III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2
183,SUPER MARIO BROS. 3,GBA,2003.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
184,NEW SUPER MARIO BROS. U,WiiU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
185,SUPER MARIO LAND 3: WARIO LAND,GB,1994.0,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
186,FIFA SOCCER 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
187,THE LEGEND OF ZELDA: PHANTOM HOURGLASS,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
188,DONKEY KONG COUNTRY 2: DIDDY'S KONG QUEST,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
189,TOMODACHI LIFE,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
190,MARIO & SONIC AT THE OLYMPIC GAMES,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14
191,MEDAL OF HONOR: RISING SUN,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
192,KIRBY'S DREAM LAND,GB,1992.0,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
193,FABLE III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
194,CALL OF DUTY: ADVANCED WARFARE,XOne,2014.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
195,MICROSOFT FLIGHT SIMULATOR,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
196,GUITAR HERO II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12
197,RESIDENT EVIL 5,PS3,2009.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11
198,GRAND THEFT AUTO V,XOne,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
199,GRAND THEFT AUTO: VICE CITY STORIES,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA SOCCER 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
201,SUPER MARIO BROS.,GB,1999.0,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
202,RESIDENT EVIL,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,TONY HAWK'S PRO SKATER,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02
204,SUPER SMASH BROS. FOR WII U AND 3DS,WiiU,2014.0,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
205,WARZONE 2100,PS,1999.0,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
206,SPYRO THE DRAGON,PS,1998.0,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
207,LINK'S CROSSBOW TRAINING,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0
208,GUITAR HERO III: LEGENDS OF ROCK,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98
209,FALLOUT 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,POKEMON MYSTERY DUNGEON: EXPLORERS OF TIME/EXPLORERS OF DARKNESS,DS,2007.0,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
211,UNCHARTED: DRAKE'S FORTUNE,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
212,MADDEN NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
213,LEGO STAR WARS: THE COMPLETE SAGA,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9
214,DIDDY KONG RACING,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
215,MONSTER HUNTER FREEDOM 3,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87
216,DR. MARIO,NES,1990.0,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
217,GOD OF WAR III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,STARCRAFT II: WINGS OF LIBERTY,PC,2010.0,Strategy,Activision,2.56,1.68,0.0,0.59,4.83
219,ASSASSIN'S CREED,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83
220,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
221,CRASH TEAM RACING,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
223,BATMAN: ARKHAM CITY,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
224,DRIVER 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73
225,THE SIMPSONS: HIT & RUN,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7
226,TONY HAWK'S PRO SKATER 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68
227,ANIMAL CROSSING: CITY FOLK,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
228,THE LORD OF THE RINGS: THE TWO TOWERS,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
229,FORZA MOTORSPORT 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
230,TOMB RAIDER,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
231,GUITAR HERO III: LEGENDS OF ROCK,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62
232,THE LEGEND OF ZELDA: A LINK TO THE PAST,SNES,1991.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
233,THE LEGEND OF ZELDA: THE WIND WAKER,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
234,MARIO & SONIC AT THE OLYMPIC WINTER GAMES,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58
235,LUIGI'S MANSION: DARK MOON,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
236,SPLATOON,WiiU,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
237,THE LAST OF US,PS4,2014.0,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
